user_id,事件,时间,顺序
1182991628948738048,equipment,2023-12-13 16:45:07.525,3
1184572396871360512,role_recruit,2023-12-15 21:05:25.326,1
1184572396871360512,equipment,2023-12-15 21:05:08.764,2
1184572396871360512,Game_Level_enter,2023-12-15 20:56:43.200,3
1184031501310763008,Game_Level_enter,2023-12-13 22:40:55.451,1
1184031501310763008,Game_Level_enter,2023-12-13 22:40:10.681,2
1184031501310763008,role_recruit,2023-12-13 22:39:36.422,3
1184586751428009984,Game_Level_enter,2023-12-16 23:55:42.002,1
1184586751428009984,equipment,2023-12-16 23:55:17.319,2
1184586751428009984,equipment,2023-12-16 23:55:15.684,3
1184169735810461696,Game_Level_enter,2023-12-22 23:19:20.930,1
1184169735810461696,equipment,2023-12-22 23:18:58.321,2
1184169735810461696,equipment,2023-12-22 23:18:04.212,3
1184167248416215040,Game_Level_enter,2023-12-15 15:33:54.751,1
1184167248416215040,Game_Level_enter,2023-12-13 20:27:53.694,2
1184167248416215040,role_recruit,2023-12-13 20:27:41.676,3
1184575807624843266,role_recruit,2023-12-16 22:05:17.145,1
1184575807624843266,equipment,2023-12-16 22:04:51.925,2
1184575807624843266,Game_Level_enter,2023-12-16 21:55:42.286,3
1183171075509329920,equipment,2023-12-13 07:58:14.241,1
1183171075509329920,equipment,2023-12-13 07:58:11.705,2
1183171075509329920,equipment,2023-12-13 07:58:09.316,3
1184299362491052032,Game_Level_enter,2023-12-15 16:00:58.948,1
1184299362491052032,draw_card,2023-12-14 00:53:22.367,2
1184299362491052032,equipment,2023-12-14 00:53:22.197,3
1183966017877975040,role_recruit,2023-12-14 20:49:13.540,1
1183966017877975040,role_recruit,2023-12-14 20:49:11.555,2
1183966017877975040,equipment,2023-12-14 20:41:17.078,3
1182510521446834176,equipment,2023-12-13 18:55:40.319,1
1182510521446834176,equipment,2023-12-13 18:55:40.318,2
1182510521446834176,equipment,2023-12-13 18:55:40.316,3
1183141230633037824,Game_Level_enter,2023-12-13 21:59:26.079,1
1183141230633037824,equipment,2023-12-13 21:59:17.574,2
1183141230633037824,role_recruit,2023-12-13 21:58:16.806,3
1183777939553005568,Game_Level_enter,2023-12-13 18:46:47.162,1
1183777939553005568,equipment,2023-12-13 18:46:05.323,2
1183777939553005568,equipment,2023-12-13 18:46:01.167,3
1184216225467609088,equipment,2023-12-14 20:37:18.104,1
1184216225467609088,equipment,2023-12-14 20:37:15.251,2
1184216225467609088,equipment,2023-12-14 20:37:11.260,3
1184240456523845632,equipment,2023-12-15 12:58:19.283,1
1184240456523845632,equipment,2023-12-15 12:58:15.452,2
1184240456523845632,equipment,2023-12-15 12:56:30.821,3
1181626842059124736,equipment,2023-12-15 16:25:26.076,1
1181626842059124736,equipment,2023-12-15 16:25:23.324,2
1181626842059124736,equipment,2023-12-15 16:25:17.734,3
1184558121427668992,equipment,2023-12-26 16:28:18.680,1
1184558121427668992,equipment,2023-12-26 16:28:12.083,2
1184558121427668992,draw_card,2023-12-26 16:27:58.754,3
1183824820471599104,equipment,2023-12-13 21:50:12.846,1
1183824820471599104,equipment,2023-12-13 21:50:09.825,2
1183824820471599104,equipment,2023-12-13 21:50:04.959,3
1183075490760503296,Game_Level_enter,2023-12-13 22:27:35.940,1
