用户id,金币余额,绿币余额,广告场景,通用广告奖励类型,累计游戏场次,变化量,资源类型
1.16373E+18,540000,0.44,ad_video_popup_bonus,标记海星,2,0.24,绿币
1.16382E+18,98000,0.17,ad_video_popup_bonus,礼物-在线奖励,9,1.53,绿币
1.16385E+18,2540000,1.15,ad_video_starfish,,2,0.88,绿币
1.16384E+18,540000,2.24,ad_video_popup_bonus,标记海星,2,2.04,绿币
1.16382E+18,640000,0.9,ad_video_details_bingo,,1,0.9,绿币
1.16383E+18,1540000,2.21,ad_video_popup_bonus,任务奖励,0,2.21,绿币
1.1638E+18,398000,0,ad_video_popup_powerup,,2,-40000,金币
1.16383E+18,380000,0.94,ad_video_wild,,2,0.94,绿币
1.16348E+18,5740000,5.23,ad_video_starfish,,1,1.65,绿币
1.16383E+18,580000,1.13,ad_video_popup_bonus,标记海星,3,1.03,绿币
1.16385E+18,940000,1.48,ad_video_popup_bonus,标记海星,2,1.28,绿币
1.16384E+18,1580000,1.03,ad_video_popup_bonus,礼物-在线奖励,2,0.93,绿币
1.16384E+18,540000,1.78,ad_video_details_bingo,,1,0.78,绿币
1.16429E+18,180000,0.3,ad_video_wild,,3,1.99,绿币
1.16462E+18,540000,3.61,ad_video_popup_bonus,标记海星,2,3.11,绿币
1.16453E+18,640000,1.47,ad_video_popup_bonus,标记海星,2,1.47,绿币
1.16456E+18,540000,3.02,ad_video_wild,,2,2.92,绿币
1.16437E+18,510000,0,ad_video_wild,,1,-40000,金币
1.16457E+18,640000,1.38,ad_video_popup_bonus,标记海星,2,1.38,绿币
1.16432E+18,540000,1,ad_video_popup_bonus,标记海星,2,0.5,绿币
1.16421E+18,740000,1.34,ad_video_starfish,,1,1.1,绿币
1.16452E+18,540000,5.19,ad_video_starfish,,2,3.92,绿币
1.16453E+18,540000,2.51,ad_video_popup_bonus,标记海星,2,2.01,绿币
1.16448E+18,540000,4.75,ad_video_starfish,,2,4.34,绿币
1.16451E+18,1540000,1.4,ad_video_popup_bonus,标记海星,2,1.4,绿币
1.16426E+18,640000,0.98,ad_video_popup_bonus,标记海星,2,0.98,绿币
1.16449E+18,640000,1.48,ad_video_wild,,3,3.96,绿币
1.1645E+18,940000,0.8,ad_video_cashgame_num,,2,0.43,绿币
1.16453E+18,1040000,2.87,ad_video_starfish,,2,2.48,绿币
1.16453E+18,640000,0.97,ad_video_popup_bonus,任务奖励,1,0.97,绿币
1.16274E+18,540000,0.5,ad_video_wild,,2,1.49,绿币
1.16331E+18,180000,2.06,ad_video_wild,,2,1.86,绿币
1.16444E+18,740000,0,ad_video_popup_bonus,标记海星,1,2.02,绿币
1.16443E+18,180000,3.62,ad_video_wild,,2,2.62,绿币
1.16444E+18,540000,2.81,ad_video_popup_bonus,标记海星,2,1.81,绿币
1.16438E+18,60000,3.03,ad_video_details_powerup,,5,1.31,绿币
1.16436E+18,640000,0.97,ad_video_popup_bonus,标记海星,2,0.97,绿币
1.16436E+18,540000,3.95,ad_video_popup_bonus,标记海星,2,1.95,绿币
1.16428E+18,540000,2.6,ad_video_popup_bonus,标记海星,2,2.5,绿币
1.16431E+18,1440000,2,ad_video_starfish,,1,20000,金币
1.16425E+18,640000,0.8,ad_video_popup_bonus,任务奖励,1,0.8,绿币
1.16427E+18,1540000,2.54,ad_video_popup_bonus,标记海星,2,2.54,绿币
1.16417E+18,540000,0,ad_video_popup_bonus,礼物-在线奖励,0,20000,金币
1.16426E+18,640000,2.21,ad_video_starfish,,1,1.92,绿币
1.16431E+18,740000,1.58,ad_video_popup_bonus,标记海星,2,1.58,绿币
1.16427E+18,940000,3.85,ad_video_cashgame_num,,2,1.56,绿币
1.16429E+18,1140000,2.15,ad_video_details_powerup,,2,2.01,绿币
1.16428E+18,1540000,2.84,ad_video_starfish,,2,2,绿币
1.16399E+18,155000,2.24,ad_video_checkin_double,,0,1.32,绿币
1.16427E+18,280000,1.47,ad_video_popup_bonus,标记海星,3,1.37,绿币
1.16428E+18,640000,1.37,ad_video_details_bingo,,1,1.37,绿币
1.1641E+18,1040000,1.83,ad_video_popup_bonus,标记海星,2,1.83,绿币
