$part_date,#user_id,金币余额,绿币余额,广告场景,ad_name,翻倍奖励原因,累计游戏次数,奖励金额,资源类型
2023/10/13,1.15623E+18,1272000,19.2,看广告开启活动场次-海星之旅,ad_video_starfish,,1,0.07,绿币
2023/10/17,1.16398E+18,540000,2.05,通用翻倍奖励,ad_video_popup_bonus,,2,1.95,绿币
2023/10/17,1.16381E+18,740000,1.34,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,1.34,绿币
2023/10/19,1.16474E+18,643000,3.98,看广告开启活动场次-海星之旅,ad_video_starfish,,2,2.74,绿币
2023/10/18,1.16449E+18,740000,1.85,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.85,绿币
2023/10/19,1.16459E+18,740000,3.01,看广告开启活动场次-海星之旅,ad_video_starfish,,1,2.06,绿币
2023/10/18,1.16422E+18,540000,4.05,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.05,绿币
2023/10/17,1.16402E+18,540000,2.47,bingo场次详情弹窗中看广告开启比赛,ad_video_details_bingo,,1,1.97,绿币
2023/10/19,1.16462E+18,1100000,1.08,bingo额外wild技能广告,ad_video_wild,,1,1.08,绿币
2023/10/18,1.15983E+18,843000,23.45,登录奖励恢复连续登录,ad_video_login_recovery,,0,0.59,绿币
2023/10/14,1.14605E+18,20383619,94.16,bingo场次详情弹窗中获取10个道具,ad_video_details_powerup,,0,525052,金币
2023/10/17,1.16406E+18,1040000,0.81,bingo额外wild技能广告,ad_video_wild,,2,0.81,绿币
2023/10/19,1.16477E+18,640000,2.02,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.02,绿币
2023/10/19,1.16477E+18,740000,1.52,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.52,绿币
2023/10/19,1.16459E+18,180000,7.43,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,0,2.43,绿币
2023/10/18,1.16429E+18,540000,3.87,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,3.77,绿币
2023/10/19,1.16477E+18,740000,2.39,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.39,绿币
2023/10/17,1.16383E+18,383000,2.18,bingo额外wild技能广告,ad_video_wild,,2,2.18,绿币
2023/10/17,1.16411E+18,1043000,2.81,看广告开启活动场次-海星之旅,ad_video_starfish,,2,1.37,绿币
2023/10/16,1.16345E+18,640000,2.8,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.8,绿币
2023/10/18,1.16431E+18,1040000,1.41,通用翻倍奖励,ad_video_popup_bonus,任务奖励,1,1.41,绿币
2023/10/18,1.16425E+18,5540000,1.69,看广告开启活动场次-海星之旅,ad_video_starfish,,2,1.42,绿币
2023/10/19,1.16479E+18,1040000,1.81,cash game获得幸运数字,ad_video_cashgame_num,,2,0.58,绿币
